City Name,Temperature,Maximum Temp,Wind,Cloudiness,Latitude,Longitude,Humidity
Dikson,-26.22,-26.22,10.89,100,73.5069,80.5464,95
Mossamedes,24.53,24.53,2.45,43,-15.1961,12.1522,76
Sovetskiy,-27.62,-27.62,1.44,0,61.3614,63.5842,96
Pedasí,28.28,28.28,5.79,12,7.5333,-80.0333,62
Kharp,-21.53,-21.53,2.16,100,66.8014,65.8081,98
Saint-Joseph,21.32,24.0,2.57,0,-21.3667,55.6167,60
Atuona,26.6,26.6,4.23,8,-9.8,-139.0333,66
Vila Franca do Campo,12.0,12.0,6.69,75,37.7167,-25.4333,87
Kaitangata,10.53,10.53,2.51,1,-46.2817,169.8464,77
Busselton,16.25,16.67,0.89,100,-33.65,115.3333,94
George Town,25.8,27.22,2.83,20,5.4112,100.3354,83
Constitución,18.43,18.43,8.64,0,-35.3333,-72.4167,60
Cherskiy,-25.31,-25.31,2.27,0,68.75,161.3,76
Harper,26.76,26.76,2.98,100,4.375,-7.7169,85
Andrews,24.0,24.0,5.66,1,32.3187,-102.5457,33
Port Alfred,17.78,17.78,0.89,88,-33.5906,26.891,90
Klaksvík,3.0,3.0,0.51,40,62.2266,-6.589,93
Upernavik,-18.26,-18.26,2.07,3,72.7868,-56.1549,84
Yellowknife,-11.4,-10.0,7.72,75,62.456,-114.3525,57
Nikolskoye,-7.15,-6.67,4.0,0,59.7035,30.7861,63
Sayyan,13.47,13.47,0.62,0,15.1718,44.3244,19
Pinawa,-7.4,-7.4,6.02,94,50.1489,-95.8811,55
Honningsvåg,-5.0,-5.0,15.95,0,70.9821,25.9704,68
Provideniya,-21.0,-21.0,2.36,20,64.3833,-173.3,71
Kavieng,27.86,27.86,2.64,92,-2.5744,150.7967,67
Jamestown,13.98,14.44,7.68,90,42.097,-79.2353,72
Los Llanos de Aridane,15.5,18.0,3.6,20,28.6585,-17.9182,68
Araouane,21.29,21.29,5.28,0,18.9048,-3.5265,21
Vestmannaeyjar,3.29,3.29,2.17,96,63.4427,-20.2734,60
Uruçuí,27.5,27.5,2.1,71,-7.2294,-44.5561,77
Tuatapere,12.22,12.22,1.79,0,-46.1333,167.6833,83
Tegul'det,-6.94,-6.94,4.87,96,57.3064,88.1667,90
Grobiņa,0.0,0.0,7.72,90,56.5352,21.1678,86
Makar'yev,-16.92,-16.92,2.45,36,57.8797,43.8069,97
Zhigansk,-25.41,-25.41,2.64,91,66.7697,123.3711,99
Bozhou,4.95,4.95,1.36,0,33.8772,115.7703,92
Ribeira Grande,14.0,14.0,5.14,75,38.5167,-28.7,72
Tasiilaq,-7.0,-7.0,2.06,75,65.6145,-37.6368,63
Qaanaaq,-16.8,-16.8,1.12,48,77.484,-69.3632,61
Payo,22.07,22.07,0.67,100,-3.7508,103.6372,97
Meadow Lake,17.95,19.44,5.66,20,34.8014,-106.5436,9
Mar del Plata,19.7,20.0,6.17,0,-38.0023,-57.5575,60
Igarka,-36.31,-36.31,0.26,0,67.4667,86.5833,99
Guerrero Negro,17.57,17.57,6.12,100,27.9769,-114.0611,46
Laguna,13.81,14.44,4.12,20,38.421,-121.4238,50
Nederland,23.22,24.0,8.23,75,29.9744,-93.9924,78
Bingöl,5.43,5.43,0.59,100,38.8847,40.4939,95
Touros,28.0,28.0,4.12,40,-5.1989,-35.4608,74
Castro,22.55,22.55,1.15,27,-24.7911,-50.0119,69
Bilibino,-27.62,-27.62,1.26,91,68.0546,166.4372,77
Verkhnevilyuysk,-15.67,-15.67,2.4,100,63.4453,120.3167,96
Lodja,24.99,24.99,0.6,100,-3.4833,23.4333,75
Albany,16.73,18.0,5.14,90,42.6001,-73.9662,39
Cabo San Lucas,24.1,24.44,1.54,75,22.8909,-109.9124,43
Thompson,-16.0,-16.0,5.66,20,55.7435,-97.8558,51
Iqaluit,-25.0,-25.0,0.58,75,63.7506,-68.5145,70
Vaini,27.0,27.0,4.12,75,-21.2,-175.2,69
Aklavik,-18.0,-18.0,8.75,90,68.2191,-135.0107,78
Beringovskiy,-14.94,-14.94,2.26,40,63.05,179.3167,81
Gobabis,22.34,22.34,4.65,4,-22.45,18.9667,39
Ancud,12.75,16.0,4.63,20,-41.8697,-73.8203,72
El Carmen,27.45,27.45,1.63,78,8.5106,-73.4478,54
Mukhen,-9.33,-9.33,2.18,11,48.1,136.1,93
Belize,28.33,28.33,3.8,0,17.25,-88.75,68
San Quintín,15.01,15.01,6.12,53,30.4833,-115.95,57
Fort Nelson,-6.0,-6.0,2.57,75,58.8053,-122.7002,45
Khatanga,-26.77,-26.77,8.96,100,71.9667,102.5,93
Aleksandrov Gay,-18.11,-18.11,2.78,0,50.147,48.5704,92
Katsuura,9.73,10.0,3.6,75,35.1333,140.3,62
Adrar,19.18,19.18,5.66,22,20.5022,-10.0711,19
Mataura,12.22,12.22,1.79,0,-46.1927,168.8643,83
New Norfolk,13.11,13.33,0.87,10,-42.7826,147.0587,78
Doha,23.29,23.89,1.54,0,25.2867,51.5333,40
Sarakhs,13.0,13.0,1.03,39,36.5449,61.1577,50
Elko,1.54,3.0,3.09,20,41.0002,-115.5012,65
São João da Barra,27.0,27.0,5.14,0,-21.6403,-41.0511,78
Puerto Ayora,28.24,29.0,5.14,40,-0.7393,-90.3518,70
Narsaq,-6.0,-6.0,1.03,75,60.9167,-46.05,63
Bluff,12.22,12.22,1.79,4,-46.6,168.3333,83
Butaritari,27.31,27.31,6.2,69,3.0707,172.7902,76
Bagotville,19.6,20.0,1.03,99,-28.9833,153.4167,94
Kuytun,-1.7,-1.7,2.71,100,54.3419,101.5036,95
Avarua,29.0,29.0,2.06,75,-21.2078,-159.775,70
Kenai,-7.6,-7.0,2.57,90,60.5544,-151.2583,73
Vågåmo,-3.2,-3.2,2.64,100,61.8751,9.0967,96
Northam,7.22,7.78,5.36,0,51.0333,-4.2167,84
Malanville,32.32,32.32,2.2,71,11.8685,3.3899,15
Bethel,18.43,21.0,5.14,1,41.3712,-73.414,30
Keminmaa,-8.0,-8.0,5.14,90,65.8596,24.8228,79
Petropavlovsk-Kamchatskiy,-2.0,-2.0,5.0,20,53.0452,158.6483,69
Artesia,14.56,16.11,5.66,40,33.8658,-118.0831,62
Omboué,26.27,26.27,2.96,94,-1.5746,9.2618,88
Barrow,-23.0,-23.0,4.12,1,71.2906,-156.7887,64
Jianning,9.0,9.0,1.0,4,27.8333,113.15,100
Coyhaique,15.0,15.0,5.14,75,-45.5752,-72.0662,63
Palauig,24.64,24.64,2.19,77,15.435,119.9045,70
Hasaki,7.52,9.0,1.03,75,35.7333,140.8333,87
Zalesovo,-5.16,-5.16,6.18,100,53.9939,84.7431,89
Longyearbyen,-14.0,-14.0,9.26,40,78.2186,15.6401,61
Altamira,26.0,26.0,1.54,40,-3.2033,-52.2064,89
Bengkulu,24.18,24.18,1.78,86,-3.8004,102.2655,88
Bull Savanna,25.86,25.86,2.35,48,17.8868,-77.5902,66
Ereymentau,-16.92,-16.92,9.38,83,51.6199,73.1033,89
Atambua,22.89,22.89,1.03,100,-9.1061,124.8925,88
Timizart,9.1,9.1,2.08,0,36.8,4.2667,71
Cape Town,18.72,19.0,1.54,0,-33.9258,18.4232,82
Aegviidu,-1.96,-1.67,6.69,100,59.2858,25.6142,64
Coquimbo,19.0,19.0,5.14,40,-29.9533,-71.3436,77
Port Moresby,24.0,24.0,1.54,75,-9.4431,147.1797,94
Alofi,27.0,27.0,2.57,20,-19.0595,-169.9187,78
Bathsheba,27.0,27.0,8.23,20,13.2167,-59.5167,61
Dalnerechensk,-7.34,-7.34,1.52,0,45.9339,133.7225,87
Lewistown,14.65,18.0,3.09,90,40.5992,-77.5714,59
Lana,6.1,9.0,1.03,75,46.6124,11.1559,61
Ruwi,24.0,24.0,1.54,0,23.5996,58.5507,33
Walla Walla,10.9,12.22,3.09,1,46.0646,-118.343,46
Polička,1.46,2.78,1.34,94,49.7146,16.2654,85
Xinxiang,7.0,7.0,1.17,0,35.3089,113.8672,93
Airai,15.41,15.41,0.56,99,-8.9266,125.4092,94
Codrington,13.58,13.58,2.17,36,-38.2667,141.9667,91
Bani Walid,11.76,11.76,4.02,78,31.7566,13.9942,72
Linhares,24.74,24.74,2.86,89,-19.3911,-40.0722,83
Monrovia,24.0,24.0,4.05,40,6.3005,-10.7969,100
Abancay,20.07,20.07,3.09,4,-13.6339,-72.8814,70
Tura,20.26,20.26,1.29,0,25.5198,90.2201,48
Bandarbeyla,24.97,24.97,3.57,0,9.4942,50.8122,74
Nome,-26.62,-25.56,0.72,1,64.5011,-165.4064,91
Dicabisagan,23.55,23.55,2.51,98,17.0818,122.4157,85
Esperance,19.0,19.0,5.66,90,-33.8667,121.9,100
Severomuysk,-13.75,-13.75,1.9,99,56.1481,113.4267,68
Luzhou,16.88,16.88,1.45,94,28.8724,105.4405,62
Grindavik,2.0,2.0,10.29,90,63.8424,-22.4338,80
Lorengau,27.74,27.74,2.38,57,-2.0226,147.2712,70
Souillac,26.0,26.0,4.12,40,-20.5167,57.5167,83
Ahipara,19.68,19.68,1.58,1,-35.1667,173.1667,68
Kahului,25.51,26.0,3.09,40,20.8947,-156.47,73
Fuerte Olimpo,33.49,33.49,0.82,65,-21.0415,-57.8738,42
Pevek,-27.17,-27.17,5.79,76,69.7008,170.3133,77
Lebu,16.31,16.31,8.19,0,-37.6167,-73.65,69
Seymchan,-21.44,-21.44,0.95,100,62.8833,152.4333,85
Samarai,28.15,28.15,1.3,41,-10.6167,150.6667,73
Kayes,29.7,29.7,5.4,90,14.0,-11.0,8
Hobart,13.64,15.0,2.57,20,-42.8794,147.3294,88
Ponta do Sol,12.36,13.89,3.21,15,32.6667,-17.1,88
Korsakov,-10.0,-10.0,1.0,40,46.6328,142.7813,92
Moose Factory,-7.0,-7.0,4.63,90,51.2585,-80.6094,93
Jiuquan,4.47,4.47,0.77,100,39.7432,98.5174,32
Lubao,24.0,24.0,3.09,75,14.9167,120.55,69
Bereda,8.33,8.33,2.24,99,43.2686,-7.5406,100
Ostróda,2.44,5.56,6.17,90,53.6967,19.9649,100
Turukhansk,-35.71,-35.71,0.79,8,65.8167,87.9833,99
Presidencia Roque Sáenz Peña,34.44,34.44,3.13,67,-26.7852,-60.4388,26
Puerto Barrios,29.0,29.0,4.12,40,15.7167,-88.6,70
Conceição do Araguaia,26.0,26.0,0.97,0,-8.2578,-49.2647,83
Wattegama,22.46,22.46,2.06,49,6.7989,81.4808,93
Tiksi,-24.03,-24.03,9.33,100,71.6872,128.8694,89
Majene,25.15,25.15,1.65,69,-3.5403,118.9707,80
Qaqortoq,-6.0,-6.0,1.03,75,60.7167,-46.0333,63
Jieshi,20.56,20.56,0.45,61,22.8134,115.8257,85
Haimen,16.0,16.0,1.52,0,23.1935,116.6142,94
Ketchikan,3.0,3.0,1.94,90,55.3422,-131.6461,93
Mandera,27.59,27.59,9.31,38,3.9366,41.867,60
Namatanai,26.45,26.45,1.59,93,-3.6667,152.4333,77
Sanjwal,13.89,13.89,1.34,100,33.7608,72.4336,83
Aranda de Duero,8.35,8.35,3.92,85,41.6704,-3.6892,87
Warnes,31.53,32.0,6.69,20,-17.5,-63.1667,55
Talakan,-11.78,-11.78,0.97,63,50.3167,130.3667,97
Kumul,9.57,9.57,2.34,0,42.8,93.45,26
Srednekolymsk,-23.49,-23.49,1.04,75,67.45,153.6833,85
Dongsheng,3.17,3.17,3.68,0,39.8161,109.9776,82
Mayo,17.52,22.0,4.63,1,38.8876,-76.5119,66
Madimba,25.79,25.79,3.34,1,-10.4,40.3333,86
Carballo,8.17,10.0,3.09,20,43.213,-8.691,81
Geraldton,21.0,21.0,2.57,71,-28.7667,114.6,88
Dingle,23.13,23.13,5.0,100,10.9995,122.6711,93
Keshod,19.44,19.44,2.17,0,21.3,70.25,89
Boden,-6.0,-6.0,8.75,90,65.8252,21.6886,86
Ordynskoye,-5.75,-5.75,6.45,100,54.3656,81.8994,89
Cavalcante,22.73,22.73,0.23,96,-13.7975,-47.4583,90
Niquelândia,24.86,24.86,1.29,39,-14.4739,-48.4597,85
Torbay,1.06,1.67,10.8,90,47.6666,-52.7314,80
Lavrentiya,-23.38,-23.38,3.0,0,65.5833,-171.0,73
Lata,12.34,14.44,1.79,100,40.1629,-8.3327,78
Faanui,28.08,28.08,6.22,70,-16.4833,-151.75,76
Kavaratti,28.06,28.06,2.13,97,10.5669,72.642,69
Canutama,26.99,26.99,1.32,97,-6.5339,-64.3831,91
Svetlaya,-3.88,-3.88,3.84,10,46.5389,138.3297,74
Valley City,1.0,1.0,8.75,90,46.9233,-98.0032,60
Aykhal,-20.4,-20.4,1.44,100,66.0,111.5,99
Mandalgovi,-2.44,-2.44,2.61,0,45.7625,106.2708,83
Killybegs,5.38,6.0,13.89,75,54.6333,-8.45,75
Wajima,8.87,8.87,1.89,100,37.4,136.9,62
Guasdualito,33.0,33.0,2.06,100,7.2424,-70.7324,35
Saldanha,17.0,17.0,0.51,97,-33.0117,17.9442,67
Hibbing,3.44,4.0,7.2,1,47.4272,-92.9377,48
Buala,26.98,26.98,2.37,100,-8.145,159.5921,81
Kajaani,-8.0,-8.0,6.17,90,64.2273,27.7285,73
Chui,22.8,22.8,1.94,12,-33.6971,-53.4616,67
Dobre Miasto,0.0,0.0,6.17,90,53.9867,20.3975,100
Praia da Vitória,13.72,14.0,4.39,75,38.7333,-27.0667,72
Norman Wells,-12.0,-12.0,6.69,90,65.282,-126.8329,72
Ābdānān,15.27,15.27,3.84,100,32.9926,47.4198,44
Villa Carlos Paz,24.0,24.0,6.17,0,-31.4241,-64.4978,69
Fortuna,11.91,13.33,5.66,1,40.5982,-124.1573,71
Juba,29.41,29.41,1.4,27,4.8517,31.5825,36
Pangnirtung,-26.0,-26.0,1.03,75,66.1451,-65.7125,76
Boguchany,-9.01,-9.01,3.17,55,58.3814,97.4531,92
Jāwā,12.51,13.0,12.35,75,31.8525,35.9393,76
Road Town,26.45,27.0,4.63,40,18.4167,-64.6167,65
San Jose,12.18,13.33,2.57,75,37.3394,-121.895,54
Haines Junction,-1.0,-1.0,5.14,100,60.7522,-137.5108,31
Hithadhoo,27.94,27.94,2.17,0,-0.6,73.0833,64
La Asuncion,22.0,22.0,6.69,92,11.0333,-63.8628,88
Nanortalik,-6.81,-6.81,5.05,76,60.1432,-45.2371,83
Wajir,26.17,26.17,7.61,1,1.7471,40.0573,59
Casper,-2.14,-1.11,1.54,1,42.8666,-106.3131,68
Agadez,27.66,27.66,3.46,5,19.75,10.25,7
Qasigiannguit,-9.0,-9.0,3.09,7,68.8193,-51.1922,53
Salalah,24.0,24.0,0.59,0,17.0151,54.0924,31
Arrondissement de Saint-Denis,7.65,8.0,7.2,75,48.9167,2.3333,76
Honiara,25.46,25.46,0.72,100,-9.4333,159.95,87
Fare,28.21,28.21,5.09,76,-16.7,-151.0167,74
Taoudenni,19.86,19.86,5.33,0,22.6783,-3.9836,36
Gallup,9.04,10.0,9.26,75,35.5281,-108.7426,18
Hay River,-7.0,-7.0,6.69,100,60.8156,-115.7999,49
Chernivtsi,0.49,1.11,4.6,99,48.2915,25.9403,78
Valdivia,20.0,20.0,4.12,20,-39.8142,-73.2459,56
Santa Rita,28.0,28.0,4.63,20,-7.1139,-34.9781,74
Sinjai,23.63,23.63,1.46,92,-5.1241,120.253,81
Bhādra,22.38,22.38,4.52,0,29.1167,75.1667,19
Aksu,8.55,8.55,2.11,100,41.1231,80.2644,34
Ilulissat,-9.0,-9.0,3.09,0,69.2167,-51.1,53
Dali,8.15,8.15,1.8,0,25.7,100.1833,78
Bobrovskiy,-26.0,-26.0,1.0,0,56.6732,60.9807,76
Buritis,24.59,24.59,0.35,95,-15.6178,-46.4233,82
Salinas,12.41,13.0,2.57,75,36.6777,-121.6555,47
Natal,28.51,29.0,7.2,40,-5.795,-35.2094,70
Yerbogachën,-0.48,-0.48,6.94,100,61.2767,108.0108,92
Oranjemund,18.92,18.92,2.62,1,-28.55,16.4333,88
Mafinga,19.6,19.6,0.2,62,-7.25,35.0667,81
Garoowe,19.28,19.28,4.55,0,8.4054,48.4845,88
Nishihara,20.04,21.0,7.2,75,26.1842,127.7558,78
Tual,28.57,28.57,4.46,77,-5.6667,132.75,73
Qandala,26.61,26.61,3.47,0,11.472,49.8728,51
Necochea,21.11,21.11,1.34,0,-38.5473,-58.7368,45
Tocopilla,22.61,22.61,3.0,10,-22.092,-70.1979,74
Haapiti,30.0,30.0,2.57,40,-17.5667,-149.8667,70
Severn,24.68,25.0,7.2,1,39.1371,-76.6983,19
El Salvador,31.29,32.0,4.63,40,13.8333,-88.9167,37
Hoa Binh,22.0,22.0,3.6,40,20.8133,105.3383,94
Witbank,16.78,16.78,6.45,0,-25.8713,29.2332,63
County Wicklow,4.1,4.44,8.23,40,53.0,-6.4167,81
Batagay-Alyta,-29.71,-29.71,2.72,78,67.8006,130.4114,72
Flinders,20.89,21.11,0.45,84,-34.5833,150.8552,95
Manitouwadge,-5.69,-5.0,4.12,90,49.1215,-85.8403,73
Puerto Palomas,21.0,21.0,2.06,1,31.7667,-107.6167,8
Muriwai Beach,18.53,18.89,1.78,24,-36.8167,174.45,93
Viedma,24.6,24.6,3.57,33,-40.8135,-62.9967,19
Hargeisa,17.86,17.86,3.46,7,9.56,44.065,88
Bambous Virieux,26.05,26.11,4.12,40,-20.3428,57.7575,83
Opuwo,24.69,24.69,1.1,98,-18.0607,13.84,44
Itarema,26.94,26.94,6.17,59,-2.9248,-39.9167,79
Lukovetskiy,-11.0,-11.0,4.0,0,64.2956,41.9211,57
Rundu,20.69,20.69,2.1,35,-17.9333,19.7667,67
Beyneu,-6.17,-6.17,7.75,89,45.3167,55.2,52
Verkhnyaya Inta,-14.5,-14.5,9.93,100,65.9811,60.3094,90
Teguise,18.0,18.0,6.17,0,29.0605,-13.564,72
Saint Paul Harbor,-4.0,-4.0,11.83,1,57.79,-152.4072,42
Shevchenkove,-10.0,-10.0,4.0,0,49.6959,37.1735,67
Raudeberg,4.44,4.44,11.46,100,61.9875,5.1352,93
Luanda,27.0,27.0,3.09,75,-8.8368,13.2343,83
Mineros,32.0,32.0,6.69,20,-17.1167,-63.2333,55
Voyvozh,-14.95,-14.95,3.39,98,62.892,54.9635,92
Dunedin,14.44,14.44,1.79,28,-45.8742,170.5036,69
Clyde River,-20.0,-20.0,4.63,20,70.4692,-68.5914,71
Forestville,25.3,26.0,6.69,1,38.8451,-76.875,19
Basco,24.49,24.49,8.51,76,20.4487,121.9702,81
Karratha,29.74,29.74,1.97,90,-20.7377,116.8463,67
Kiryat Gat,16.2,17.22,0.89,100,31.61,34.7642,100
Shiraz,11.0,11.0,1.75,75,29.6036,52.5388,40
Leningradskiy,-23.56,-23.56,1.34,1,69.3833,178.4167,63
Teya,-9.5,-9.5,3.62,86,60.3778,92.6267,92
Masallātah,12.19,12.19,3.36,0,32.6167,14.0,70
Salym,-23.33,-23.33,3.26,100,60.0625,71.4789,96
Yangi Marg`ilon,6.0,6.0,2.06,80,40.4272,71.7189,61
Moctezuma,23.3,23.3,8.21,56,29.8,-109.6667,11
Buenos Aires,29.33,30.0,2.06,0,-34.6132,-58.3772,45
Bǝrdǝ,1.72,1.72,8.03,100,40.3744,47.1267,95
Lagoa,13.34,13.34,5.07,89,39.05,-27.9833,63
Andros,9.44,9.44,7.6,9,37.8333,24.9333,58
Kungurtug,-6.69,-6.69,1.19,100,50.5994,97.5228,69
Islāmpur,20.13,20.13,2.59,0,26.2667,88.2,31
Walvis Bay,17.36,17.78,4.12,0,-22.9575,14.5053,88
Alausí,17.0,17.0,4.12,75,-2.2,-78.8333,63
Shingū,11.15,11.15,2.07,100,33.7333,135.9833,84
Itaituba,25.0,25.0,0.52,40,-4.2761,-55.9836,88
Sumkino,-21.39,-21.39,3.66,100,58.1108,68.3244,96
Kalamare,22.97,22.97,1.09,11,-22.9337,26.5703,41
Bichura,-1.8,-1.8,2.58,0,50.5881,107.6022,74
College,-20.49,-18.89,4.12,75,64.8569,-147.8028,54
Baykit,-10.63,-10.63,2.9,100,61.67,96.37,93
São Filipe,21.06,21.06,2.43,100,14.8961,-24.4956,77
Tigil',-7.06,-7.06,3.56,100,57.8,158.6667,88
Naze,18.16,18.16,8.41,95,28.3667,129.4833,83
Byron Bay,19.07,20.0,1.03,98,-28.65,153.6167,94
Bonavista,0.63,1.67,3.6,100,48.6499,-53.1147,93
Bara,29.17,29.17,1.94,100,10.3744,10.7288,22
Kamenka,-20.07,-20.07,2.12,0,51.3223,42.7678,92
Hobyo,26.06,26.06,6.98,4,5.3505,48.5268,81
Vao,24.6,24.6,7.75,0,-22.6667,167.4833,73
Yārāda,25.0,25.0,1.54,20,17.65,83.2667,88
Pisco,26.15,27.0,9.77,0,-13.7,-76.2167,65
Abu Samrah,12.53,12.53,12.47,20,35.3029,37.1841,74
Mount Isa,23.0,23.0,0.21,99,-20.7333,139.5,100
Sioux Lookout,0.0,0.0,6.69,75,50.1001,-91.917,59
Hambantota,25.66,25.66,6.03,99,6.1241,81.1185,82
Nara,7.74,8.89,2.06,75,34.6851,135.8049,61
Mumford,27.66,27.66,6.82,100,5.2618,-0.759,81
Esim,27.6,27.6,4.07,100,4.8699,-2.2405,82
Aripuanã,26.09,26.09,1.44,44,-9.1667,-60.6333,94
Havøysund,-5.0,-5.0,15.95,0,70.9963,24.6622,68
Lompoc,10.83,12.0,2.57,90,34.6391,-120.4579,76
Raton,12.5,12.78,11.83,1,36.9034,-104.4391,17
Rocha,22.93,22.93,3.46,24,-34.4833,-54.3333,62
Mahébourg,26.0,26.0,4.12,40,-20.4081,57.7,83
San Patricio,26.52,28.0,12.35,75,28.017,-97.5169,54
San Cristobal,28.0,28.0,4.12,40,7.7669,-72.225,61
San Policarpo,24.6,24.6,8.77,100,12.1791,125.5072,93
Berbera,25.91,25.91,2.11,0,10.4396,45.0143,80
North Bend,12.04,13.33,5.14,1,43.4065,-124.2243,71
Chimbote,25.77,25.77,5.39,16,-9.0853,-78.5783,65
Ende,24.65,24.65,0.84,100,-8.8432,121.6623,91
Hamilton,16.13,17.0,7.2,90,39.1834,-84.5333,72
Prescott,2.98,5.0,8.23,90,34.54,-112.4685,56
Bonthe,27.16,27.16,3.61,92,7.5264,-12.505,79
San Lazaro,29.29,29.44,5.14,40,18.0387,-88.6622,74
Saskylakh,-24.09,-24.09,7.7,100,71.9167,114.0833,88
Eau Claire,8.32,8.89,8.75,1,44.8114,-91.4985,36
Terra Santa,23.77,23.77,0.92,85,-2.1042,-56.4869,96
Sabha,16.31,16.31,10.44,100,27.0377,14.4283,64
Bosobolo,23.92,23.92,2.18,92,4.1833,19.9,74
Malakal,28.92,28.92,1.01,2,9.5334,31.6605,18
Rameshki,-14.76,-14.76,3.77,0,57.3439,36.0453,91
Junction City,15.0,16.0,4.12,1,39.0286,-96.8314,29
Venado Tuerto,26.79,26.79,4.02,100,-33.7456,-61.9688,50
Vlasenica,5.52,6.0,1.03,0,44.1819,18.9406,52
Ariquemes,25.45,25.45,1.36,91,-9.9133,-63.0408,93
Alugan,24.43,24.43,8.26,100,12.2188,125.4808,93
Pacific Grove,11.73,12.78,4.12,75,36.6177,-121.9166,66
Meulaboh,24.48,24.48,1.85,37,4.1363,96.1285,87
Rybachiy,-15.0,-15.0,2.0,0,48.7073,44.7449,72
Keflavik,2.0,2.0,10.29,90,64.0049,-22.5624,80
Sinnamary,25.25,25.25,5.49,100,5.3833,-52.95,88
Otradnoye,-7.14,-6.67,4.0,0,59.7775,30.8181,63
Misratah,14.46,14.46,4.01,36,32.3754,15.0925,63
Ostrovnoy,-11.36,-11.36,13.04,37,68.0531,39.5131,84
Muroto-misakicho,12.0,12.0,3.6,75,33.2833,134.15,62
Tautira,30.0,30.0,2.57,40,-17.7333,-149.15,70
Mareeba,23.48,25.0,3.09,60,-17.0,145.4333,83
Vardø,-9.0,-9.0,13.89,0,70.3705,31.1107,86
Mabai,13.77,13.77,1.26,78,23.0128,104.4508,96
Niğde,0.97,0.97,3.8,100,37.8333,34.75,97
Tateyama,10.0,10.0,3.6,75,34.9833,139.8667,62
Sokolo,25.51,25.51,6.55,13,14.7328,-6.1219,10
Poronaysk,-6.97,-6.97,0.93,98,49.2167,143.1167,93
Ust'-Omchug,-19.75,-19.75,2.16,100,61.15,149.6333,97
Xingyi,9.22,9.22,1.09,0,24.1877,102.817,68
Tokur,-16.6,-16.6,1.92,92,53.1333,132.9,98
Lake Cowichan,9.45,10.0,3.6,75,48.825,-124.0546,50
Kostanay,-20.0,-20.0,5.0,75,53.1667,63.5833,71
Oxapampa,19.23,19.23,1.37,44,-10.5775,-75.4017,83
Talnakh,-34.25,-34.25,3.69,93,69.4865,88.3972,95
Dargaville,20.95,20.95,1.69,29,-35.9333,173.8833,66
Port-Gentil,27.0,27.0,3.09,40,-0.7193,8.7815,89
Bayjī,18.52,18.52,2.43,85,34.9311,43.487,42
Kīhei,25.47,26.0,3.09,40,20.785,-156.4656,73
Anadyr,-29.0,-29.0,3.0,0,64.75,177.4833,76
Gboko,28.57,28.57,5.04,100,7.3179,8.9951,50
Ulverstone,16.45,16.67,1.79,1,-41.15,146.1667,83
Polson,6.29,6.67,2.24,0,47.6936,-114.1632,48
Chapais,9.0,9.0,5.66,40,49.7834,-74.8492,81
Hanoi,22.0,22.0,3.6,40,21.0245,105.8412,94
Florø,6.0,6.0,9.26,75,61.5996,5.0328,87
